Group Number,Content Hash,Original Response ID,Original Status,Original Created At,Duplicate Response ID,Duplicate Status,Duplicate Created At,Action Taken,Reason
12,31c41c71aa6ad9b2,a0263ba4-08bf-472c-8e1b-70f93c3b62bc,Pending_Approval,2025-12-26T13:25:38.732Z,6641eae5-0077-4373-b634-cdeedf4cae60,Pending_Approval -> abandoned,2025-12-26T13:28:10.650Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
13,36c8d5a940313fbb,002b62b5-1fe8-4302-a0f3-ae24881adba3,Pending_Approval,2025-12-26T13:22:53.644Z,a40d8e44-c23d-49f0-9ffd-e75eba3c443b,Pending_Approval -> abandoned,2025-12-26T13:24:17.835Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
14,3e6f0fa04d457eb0,af1406f7-ee43-4554-9c86-9887241939a0,Pending_Approval,2025-12-28T15:07:44.991Z,114845f7-3cf3-484e-82d9-6944b17075ee,Pending_Approval -> abandoned,2025-12-29T08:30:17.233Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
15,4851f32959804397,fcb485f3-50f5-4e4c-89e8-704573490c61,Pending_Approval,2025-12-29T12:27:25.402Z,5857f9e4-0e0a-4cc6-8e03-89844a215f21,Pending_Approval -> abandoned,2025-12-29T12:35:59.973Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
16,5b916d95480926b2,5bd9bbd6-b1fd-4d80-b835-c003ecf53866,Pending_Approval,2025-12-29T13:05:34.426Z,8394c727-1081-4418-a41b-0ec355933417,Pending_Approval -> abandoned,2025-12-29T15:18:07.233Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
17,5f2947055835c305,f160c812-eb27-498b-8bf6-ceb100a7748d,Pending_Approval,2025-12-29T10:22:49.276Z,739a6bb7-5402-4d94-a2cf-2147ec837411,Pending_Approval -> abandoned,2025-12-29T10:32:44.645Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
18,62b62ee653f4efc1,759425fc-b4ae-4757-b41c-06da0f45ffbb,Pending_Approval,2025-12-29T06:03:19.305Z,f4f0425d-fd64-4b96-8e0c-2bf58be846b1,Pending_Approval -> abandoned,2025-12-29T06:07:58.146Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
19,646d20966f0d0bf0,73684b83-64aa-4f51-946e-3210a00a9f13,Pending_Approval,2025-12-29T12:45:12.110Z,d701eb0c-174c-444b-9b67-b72d104dd5d4,Pending_Approval -> abandoned,2026-01-03T05:52:42.591Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
20,675ed9acf7dd4354,bdec00f3-3d09-4baf-b1b5-9e3c149d492f,Pending_Approval,2025-12-29T10:24:54.885Z,af510460-019d-46ae-9866-82087cd708db,Pending_Approval -> abandoned,2025-12-29T10:34:18.425Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
21,69d30e40288c46e2,44ff941c-08ad-47a8-84bc-9c737a77436a,Pending_Approval,2026-01-01T13:30:32.345Z,9fa91dc1-6708-4e7d-90d9-ec09b1edeb94,Pending_Approval -> abandoned,2026-01-01T13:40:57.869Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
22,6acf3765609f141a,b66f12a8-2560-4781-b674-248a6a8c3645,Pending_Approval,2026-01-03T12:44:09.222Z,a90fbeec-fe96-4bda-8947-cf8f578e7a67,Pending_Approval -> abandoned,2026-01-04T00:21:52.697Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
23,74412395e841bd50,163411ae-ab1e-4046-aeaf-f4c147362f24,Pending_Approval,2026-01-04T09:08:54.511Z,22aaf049-eeb6-40e8-9820-3303db80a73e,Pending_Approval -> abandoned,2026-01-04T09:10:05.323Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
24,7556718b67d4cd15,902c76eb-12ae-4c37-9c1a-e4432f390bff,Pending_Approval,2026-01-03T14:00:39.823Z,840bc290-0189-4572-a75d-dd0529a542d8,Pending_Approval -> abandoned,2026-01-03T14:01:45.873Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
25,7775638160461683,af322122-c524-4033-8393-b8df0b22c370,Pending_Approval,2026-01-04T05:10:18.347Z,86dbc0ba-f9a6-44ff-b84c-636f26db89ed,Pending_Approval -> abandoned,2026-01-04T05:12:02.756Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
26,7ecdfaae68e44283,a24e6436-48e9-4537-aea1-789cc6f4beb4,Pending_Approval,2025-12-28T15:03:29.275Z,74e4fbba-f0c7-4402-b970-cdfd769d5a67,Pending_Approval -> abandoned,2025-12-29T08:28:43.809Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
27,81088e442c020716,ca31c155-e9a8-4e74-9bd2-bf18ee64556c,Pending_Approval,2025-12-29T14:19:57.350Z,9846611c-2999-401b-b58f-1b25965e9644,Pending_Approval -> abandoned,2025-12-29T14:20:33.885Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
28,8406f3c7187eefa7,33dbf73d-a62d-4aef-bb4c-d5e6519ee056,Pending_Approval,2025-12-28T15:02:45.307Z,901f0ed6-4422-4217-826f-96e9c77fd3f4,Pending_Approval -> abandoned,2025-12-28T15:13:42.225Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
29,878beaa87332156a,4e5b6594-0d0a-453c-a8ee-d352997102ec,Pending_Approval,2025-12-26T14:30:08.369Z,73b5ee76-60e3-44ad-aacc-634df5a61099,Pending_Approval -> abandoned,2025-12-26T14:35:12.289Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
30,8a42129cde0ab540,9c21b81c-c5aa-436a-82e5-57bbfca7c274,Pending_Approval,2026-01-03T12:57:58.451Z,2b333da7-74f3-4aa3-81de-c4c2de189127,Pending_Approval -> abandoned,2026-01-03T12:58:38.488Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
31,91118cf479582538,733ba5c7-7f9c-4b3b-b833-1f2c18a1f7da,Pending_Approval,2026-01-04T06:55:08.141Z,2ad4fff3-c96d-4606-ba16-4f15e830493c,Pending_Approval -> abandoned,2026-01-04T06:55:41.871Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
32,94f25bab95f08cb4,7cb47364-0d48-40e9-aa44-65b5b21a5b28,Pending_Approval,2025-12-28T11:13:02.669Z,8a118d0b-df7a-4c58-a7a9-c593269f183a,Pending_Approval -> abandoned,2025-12-28T11:13:48.345Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
33,95772008d1149af2,cc45ab6c-cb5d-430d-9d8d-054175cdc3ec,Pending_Approval,2026-01-02T09:44:46.206Z,32c57620-c5b6-45e0-9ad7-16a10427f2f5,Pending_Approval -> abandoned,2026-01-03T05:39:44.580Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
34,9af1899c2fb811f5,88690a70-6698-4b5d-88ea-603a39f44f26,Pending_Approval,2026-01-03T04:46:50.938Z,296eb1a5-e582-4f65-84d4-c6ed9054f9da,Pending_Approval -> abandoned,2026-01-03T05:06:15.183Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
35,9cd0a164d790d5cf,1f8fad31-264a-4ba7-b623-81c0b7886aea,Pending_Approval,2026-01-04T09:08:34.771Z,f23de3de-337c-4506-8251-acdbd169a559,Pending_Approval -> abandoned,2026-01-04T09:10:04.185Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
36,9ffec96583711d13,a72a7bbc-01f2-4893-8230-ac2c6881c68e,Pending_Approval,2025-12-29T06:04:39.688Z,a4e6a070-3578-4644-b42c-437b5de328fd,Pending_Approval -> abandoned,2025-12-29T06:08:43.968Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
37,a07689bffd544266,8698b5ad-c359-45b4-87e9-b8c71923eaea,Pending_Approval,2025-12-28T15:03:22.281Z,869fef3e-7a5b-48bd-8303-694c7b160229,Pending_Approval -> abandoned,2025-12-29T10:01:42.768Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
38,a16128202670a187,557b0b90-3666-49d9-8fc2-77af836683ad,Pending_Approval,2025-12-29T10:07:47.765Z,2eea7c6f-2332-4504-b456-12971588838e,Pending_Approval -> abandoned,2025-12-29T10:30:15.314Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
39,a601aac3474e35f0,2e7af948-7364-471d-ae52-036a5f723b89,Pending_Approval,2026-01-02T09:44:29.842Z,7e2e10a0-79ae-4f51-827a-3e2686ef2c04,Pending_Approval -> abandoned,2026-01-03T05:06:54.195Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
40,ac4387467a07585b,0b9f4b20-d762-4f35-8707-d8d835999718,Pending_Approval,2026-01-03T11:53:22.491Z,5664739c-e5bc-4eac-ae94-1f2350b41c49,Pending_Approval -> abandoned,2026-01-04T00:21:31.268Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
41,adef58d8eb8e8c98,f033b39b-e5f4-490a-9374-4f2102e23966,Pending_Approval,2026-01-03T09:52:57.106Z,3fe9680d-3aaf-4775-815b-9501b583b9f4,Pending_Approval -> abandoned,2026-01-03T16:59:37.084Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
42,b55488ad6596df32,825e573a-833b-426f-8810-715c941d2af9,Pending_Approval,2025-12-28T07:55:34.171Z,2a6746e3-5173-4e8a-b943-023b9f669033,Pending_Approval -> abandoned,2025-12-28T08:13:51.371Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
43,b99c9ade44ccb3f7,2255722b-f7d8-4538-830f-af741c7fab0b,Pending_Approval,2025-12-28T15:12:39.644Z,d21cbd66-fb49-4dc7-90e7-ae0ca213ea3b,Pending_Approval -> abandoned,2025-12-29T08:26:51.146Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
44,baef1771a36cdf23,28db97b8-4f89-4c3d-8f76-0217ab2e948f,Pending_Approval,2026-01-03T05:47:44.886Z,427e64ca-a272-4be0-9ba3-21f6950afaab,Pending_Approval -> abandoned,2026-01-03T11:35:30.621Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
45,bb7b427c35ad4fe2,4ff73311-a37e-4dec-90be-6e056b553941,Pending_Approval,2026-01-02T11:11:49.102Z,fe7360ff-be02-4792-b38e-267f9a7fe33e,Pending_Approval -> abandoned,2026-01-03T10:45:30.094Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
46,bddc1878db934a9e,871be578-3768-4ef0-84a0-ad5ed0c24ad8,Pending_Approval,2025-12-28T15:01:49.299Z,7cc23d5a-4a3b-4dcc-b117-299bd6757968,Pending_Approval -> abandoned,2025-12-29T10:00:47.204Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
47,c4150cbf912d1c3c,4bdcbda5-15c4-4981-84c7-32f02ae4329b,Pending_Approval,2026-01-02T13:48:27.337Z,2aaff040-94dc-4a1f-9f58-6ca335fe2bcc,Pending_Approval -> abandoned,2026-01-03T04:20:35.581Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
48,c69a8c3582ebdd8c,5703eae7-b24c-487a-9932-e61144c28bd9,Pending_Approval,2026-01-03T07:19:44.037Z,07749f5b-8dfb-4f3f-9e9b-24df2ecb99a7,Pending_Approval -> abandoned,2026-01-03T07:36:44.078Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
49,cadcc0deed1d2c5e,145fbd3c-35aa-4eca-b717-b76636b38fae,Pending_Approval,2026-01-03T18:30:17.427Z,7de495f5-1ef9-446c-8624-eff65b3c69c0,Pending_Approval -> abandoned,2026-01-03T18:31:21.115Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
50,cc6d45439611e0bf,2e9811d0-1254-409a-adef-1700cd0280b0,Pending_Approval,2026-01-04T02:32:04.047Z,b10a536a-6d8d-4c52-9511-60e99236bfeb,Pending_Approval -> abandoned,2026-01-04T02:32:30.838Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
51,d9b8675fd13f9d07,2a0189ab-f386-4e70-bedd-5d18a0ad8c2a,Pending_Approval,2026-01-03T10:32:19.078Z,b2c07303-c5a7-401a-9eb0-28859edfcda4,Pending_Approval -> abandoned,2026-01-03T10:34:20.065Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
52,d9ce223976a15ad0,a6b8687f-9667-4369-b6e0-4cd0084007eb,Pending_Approval,2026-01-04T07:45:59.047Z,fea2c0c0-c48c-4a01-baff-cbd3fc0b0a67,Pending_Approval -> abandoned,2026-01-04T07:46:30.569Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
53,dabbd141169aaec9,7df2cb55-cbc0-49f9-a2b4-255a6c4677c6,Pending_Approval,2026-01-03T07:52:35.385Z,0158588c-a6de-4b6c-95f2-22644ccf681d,Pending_Approval -> abandoned,2026-01-03T09:30:20.711Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
54,e63efcb313743cb2,6dd4240c-e468-4a55-934d-786dd5e96c41,Pending_Approval,2026-01-02T09:11:57.706Z,927d4fbf-6edb-48e4-a366-482ca2f0963f,Pending_Approval -> abandoned,2026-01-04T09:57:20.198Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
55,e87221e5aafb14d6,7dc94009-fc6c-4532-9261-1c0a42d913f7,Pending_Approval,2025-12-29T06:04:48.804Z,2283fd8d-da79-47ee-8dce-a0ad1acc48de,Pending_Approval -> abandoned,2025-12-29T06:09:45.556Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
56,ed270c7c55363bc8,d0950db3-dd50-43b5-bf65-beb2ac99fdd2,Pending_Approval,2025-12-26T09:52:35.864Z,211d02a6-6fa5-4ce2-9f7c-3a369fe3508c,Pending_Approval -> abandoned,2025-12-26T15:08:33.019Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
57,ee22e7cd111bf170,8920a147-6eba-4971-99be-e26c5502fa0a,Pending_Approval,2026-01-03T18:30:02.157Z,d0cf2b06-f6f0-469a-a2f6-7fdb964af7c8,Pending_Approval -> abandoned,2026-01-03T18:30:28.872Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
58,efb4d819df579308,69301a65-d2b7-4fca-b629-93dcd6a8e19b,Pending_Approval,2026-01-01T14:26:20.837Z,074a6325-05e2-4cfc-a543-214b7b5b5bf3,Pending_Approval -> abandoned,2026-01-03T11:32:00.468Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
59,f23b200713f97576,670e1801-c931-4738-9a97-09cf58e83eea,Pending_Approval,2025-12-29T10:23:45.820Z,9ce04c7f-edb6-4c25-8d54-d4a9ff853984,Pending_Approval -> abandoned,2025-12-29T10:43:44.286Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
60,fa380caa39554138,93195e04-7580-4a6b-81c8-e2f5806ddab3,Pending_Approval,2025-12-29T10:25:46.352Z,12b2c261-a173-4f0b-aedf-20532b91be6a,Pending_Approval -> abandoned,2025-12-29T10:36:25.499Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
61,fb9646d757f018ae,607163e5-2793-4995-bb95-7f50abf7cf0a,Pending_Approval,2025-12-29T06:06:46.313Z,b1d73077-988e-47ed-bb90-4da68e8474ab,Pending_Approval -> abandoned,2025-12-29T06:24:17.240Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
62,fdb5ffa3c36392aa,976ec725-a508-416d-a913-43341ca1099b,Pending_Approval,2026-01-03T10:30:45.955Z,f811ac17-5d80-4216-b34f-01b9223d1d7e,Pending_Approval -> abandoned,2026-01-03T12:51:44.161Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
