Group #,Content Hash,Why Duplicate?,Original Response ID,Original Status,Original Created Date,Original Start Time,Original End Time,Original Duration (seconds),Original # of Questions Answered,Original GPS Location,Original Has Audio,Duplicate Response ID,Duplicate Status (Now Abandoned),Duplicate Created Date,Duplicate Start Time,Duplicate End Time,Duplicate Duration (seconds),Duplicate # of Questions Answered,Duplicate GPS Location,Duplicate Has Audio,Time Difference (minutes),All Fields Match?,Evidence of Duplication
3,1b35c0320c8c8ff5,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",ca25e6cf-1729-45f8-b421-79ac20241f39,Rejected,"Jan 2, 2026, 01:48 PM",10:06:28 AM,10:10:46 AM,257,27,"24.9345, 88.0582",No,560ce968-ad5d-4dfa-91a2-b18783508a16,Rejected → abandoned,"Jan 3, 2026, 08:32 AM",10:06:28 AM,10:10:46 AM,257,27,"24.9345, 88.0582",Yes,1124,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Content Hash (Digital Fingerprint)
4,1ba26642855d6a74,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",f88f6e1e-da26-4e45-a93c-50d5bbb51fdf,Pending_Approval,"Jan 3, 2026, 07:08 AM",07:31:21 AM,07:39:38 AM,497,27,"26.5471, 88.7124",Yes,1443f87d-2cda-4eed-94d2-ec5ae40912c6,Rejected → abandoned,"Jan 3, 2026, 06:59 AM",07:31:21 AM,07:39:38 AM,497,27,"26.5471, 88.7124",No,-10,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Content Hash (Digital Fingerprint)
4,1ba26642855d6a74,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",f88f6e1e-da26-4e45-a93c-50d5bbb51fdf,Pending_Approval,"Jan 3, 2026, 07:08 AM",07:31:21 AM,07:39:38 AM,497,27,"26.5471, 88.7124",Yes,2a936774-856b-4869-877d-efe9dec6713c,Rejected → abandoned,"Jan 3, 2026, 07:17 AM",07:31:21 AM,07:39:38 AM,497,27,"26.5471, 88.7124",Yes,9,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Audio Status; Same Content Hash (Digital Fingerprint)
4,1ba26642855d6a74,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",f88f6e1e-da26-4e45-a93c-50d5bbb51fdf,Pending_Approval,"Jan 3, 2026, 07:08 AM",07:31:21 AM,07:39:38 AM,497,27,"26.5471, 88.7124",Yes,c7354012-1349-4de8-8668-84b47087b4a4,Rejected → abandoned,"Jan 4, 2026, 09:57 AM",07:31:21 AM,07:39:38 AM,497,27,"26.5471, 88.7124",Yes,1609,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Audio Status; Same Content Hash (Digital Fingerprint)
5,1f88bd426a4ea393,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",d1049750-0148-46ac-9021-0d8a90a179ee,Pending_Approval,"Jan 3, 2026, 01:13 PM",01:18:58 PM,01:26:20 PM,441,27,"22.8515, 88.4047",Yes,7f80f584-8e26-40f3-b450-9fefd54c3454,Rejected → abandoned,"Jan 2, 2026, 10:14 AM",01:18:58 PM,01:26:20 PM,441,27,"22.8515, 88.4047",No,-1619,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Content Hash (Digital Fingerprint)
5,1f88bd426a4ea393,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",d1049750-0148-46ac-9021-0d8a90a179ee,Pending_Approval,"Jan 3, 2026, 01:13 PM",01:18:58 PM,01:26:20 PM,441,27,"22.8515, 88.4047",Yes,3ddd2761-e3d6-4b74-901b-db17fd928c30,Rejected → abandoned,"Jan 3, 2026, 04:21 AM",01:18:58 PM,01:26:20 PM,441,27,"22.8515, 88.4047",No,-532,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Content Hash (Digital Fingerprint)
5,1f88bd426a4ea393,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",d1049750-0148-46ac-9021-0d8a90a179ee,Pending_Approval,"Jan 3, 2026, 01:13 PM",01:18:58 PM,01:26:20 PM,441,27,"22.8515, 88.4047",Yes,280fa546-096d-4dd0-860b-546010182fbc,Rejected → abandoned,"Jan 3, 2026, 01:13 PM",01:18:58 PM,01:26:20 PM,441,27,"22.8515, 88.4047",Yes,0,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Audio Status; Same Content Hash (Digital Fingerprint)
6,2070ca9b2a899617,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",cbfa8d98-6eca-4293-a915-4b4c666cb1f9,Pending_Approval,"Dec 31, 2025, 12:44 PM",10:47:23 AM,10:50:35 AM,192,27,"22.8135, 87.0025",Yes,f3fdcfda-20fe-45a0-857e-e205619efa91,Rejected → abandoned,"Dec 31, 2025, 11:05 AM",10:47:23 AM,10:50:35 AM,192,27,"22.8135, 87.0025",No,-99,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Content Hash (Digital Fingerprint)
6,2070ca9b2a899617,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",cbfa8d98-6eca-4293-a915-4b4c666cb1f9,Pending_Approval,"Dec 31, 2025, 12:44 PM",10:47:23 AM,10:50:35 AM,192,27,"22.8135, 87.0025",Yes,6618bc86-2789-47ac-9351-b902c165a164,Rejected → abandoned,"Dec 31, 2025, 01:09 PM",10:47:23 AM,10:50:35 AM,192,27,"22.8135, 87.0025",Yes,26,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Audio Status; Same Content Hash (Digital Fingerprint)
6,2070ca9b2a899617,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",cbfa8d98-6eca-4293-a915-4b4c666cb1f9,Pending_Approval,"Dec 31, 2025, 12:44 PM",10:47:23 AM,10:50:35 AM,192,27,"22.8135, 87.0025",Yes,a965971b-2494-4eba-8161-81c0c45498fa,Rejected → abandoned,"Dec 31, 2025, 02:07 PM",10:47:23 AM,10:50:35 AM,192,27,"22.8135, 87.0025",Yes,84,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Audio Status; Same Content Hash (Digital Fingerprint)
7,2652210bf28fb721,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",0d22de8c-9e57-45e3-89e7-5396ba1f169b,Rejected,"Jan 2, 2026, 01:06 PM",12:40:57 PM,12:45:23 PM,265,27,"24.9389, 88.0557",No,55f63803-774e-4d71-9a4e-1072673103e3,Rejected → abandoned,"Jan 3, 2026, 06:35 AM",12:40:57 PM,12:45:23 PM,265,27,"24.9389, 88.0557",No,1049,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Audio Status; Same Content Hash (Digital Fingerprint)
7,2652210bf28fb721,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",0d22de8c-9e57-45e3-89e7-5396ba1f169b,Rejected,"Jan 2, 2026, 01:06 PM",12:40:57 PM,12:45:23 PM,265,27,"24.9389, 88.0557",No,3e834e68-21eb-40d5-8f97-8947219e5ad0,Rejected → abandoned,"Jan 3, 2026, 07:01 AM",12:40:57 PM,12:45:23 PM,265,27,"24.9389, 88.0557",Yes,1074,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Content Hash (Digital Fingerprint)
7,2652210bf28fb721,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",0d22de8c-9e57-45e3-89e7-5396ba1f169b,Rejected,"Jan 2, 2026, 01:06 PM",12:40:57 PM,12:45:23 PM,265,27,"24.9389, 88.0557",No,7c006334-194c-4ac2-b2c4-b503c885c092,Rejected → abandoned,"Jan 3, 2026, 07:15 AM",12:40:57 PM,12:45:23 PM,265,27,"24.9389, 88.0557",Yes,1089,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Content Hash (Digital Fingerprint)
8,39d85ea18b85c800,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",5b596adc-4d3f-4c04-8319-27ee26500c67,Pending_Approval,"Jan 3, 2026, 11:24 AM",12:45:15 PM,12:51:00 PM,344,25,"24.8084, 87.8943",Yes,127c61fb-541f-4181-ab2e-b7f634626526,Rejected → abandoned,"Jan 2, 2026, 01:16 PM",12:45:15 PM,12:51:00 PM,344,25,"24.8084, 87.8943",No,-1328,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Content Hash (Digital Fingerprint)
8,39d85ea18b85c800,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",5b596adc-4d3f-4c04-8319-27ee26500c67,Pending_Approval,"Jan 3, 2026, 11:24 AM",12:45:15 PM,12:51:00 PM,344,25,"24.8084, 87.8943",Yes,ae557a22-45b0-4c8b-af93-05755828675b,Rejected → abandoned,"Jan 3, 2026, 11:36 AM",12:45:15 PM,12:51:00 PM,344,25,"24.8084, 87.8943",Yes,12,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Audio Status; Same Content Hash (Digital Fingerprint)
8,39d85ea18b85c800,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",5b596adc-4d3f-4c04-8319-27ee26500c67,Pending_Approval,"Jan 3, 2026, 11:24 AM",12:45:15 PM,12:51:00 PM,344,25,"24.8084, 87.8943",Yes,c9f62275-1710-40e4-884a-af602f15dcc9,Rejected → abandoned,"Jan 4, 2026, 09:53 AM",12:45:15 PM,12:51:00 PM,344,25,"24.8084, 87.8943",Yes,1349,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Audio Status; Same Content Hash (Digital Fingerprint)
9,4156187dbd180a99,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",61532755-7e11-432a-928c-d0ba9e66075c,Pending_Approval,"Jan 2, 2026, 05:58 AM",01:17:52 PM,01:23:16 PM,323,27,"26.7802, 88.4126",Yes,9c7ecb2d-87d9-455b-8a3d-a4a05dcd14ae,Rejected → abandoned,"Jan 1, 2026, 01:21 PM",01:17:52 PM,01:23:16 PM,323,27,"26.7802, 88.4126",No,-997,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Content Hash (Digital Fingerprint)
9,4156187dbd180a99,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",61532755-7e11-432a-928c-d0ba9e66075c,Pending_Approval,"Jan 2, 2026, 05:58 AM",01:17:52 PM,01:23:16 PM,323,27,"26.7802, 88.4126",Yes,402bb479-5a74-4363-bd71-fb0f064fd595,Rejected → abandoned,"Jan 2, 2026, 06:31 AM",01:17:52 PM,01:23:16 PM,323,27,"26.7802, 88.4126",Yes,33,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Audio Status; Same Content Hash (Digital Fingerprint)
9,4156187dbd180a99,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",61532755-7e11-432a-928c-d0ba9e66075c,Pending_Approval,"Jan 2, 2026, 05:58 AM",01:17:52 PM,01:23:16 PM,323,27,"26.7802, 88.4126",Yes,1c7aab9c-834c-4f5c-ac0e-00a734acdfdf,Rejected → abandoned,"Jan 4, 2026, 10:00 AM",01:17:52 PM,01:23:16 PM,323,27,"26.7802, 88.4126",Yes,3122,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Audio Status; Same Content Hash (Digital Fingerprint)
10,588bf46eda1436e8,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",f64b18b2-140b-406d-9232-9857578ed989,Pending_Approval,"Jan 3, 2026, 09:25 AM",07:13:37 AM,07:22:23 AM,526,27,"23.3520, 86.4534",Yes,b59b079b-e85f-4933-9a4b-786d22b8a21c,Rejected → abandoned,"Jan 3, 2026, 08:30 AM",07:13:37 AM,07:22:23 AM,526,27,"23.3520, 86.4534",Yes,-55,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Audio Status; Same Content Hash (Digital Fingerprint)
10,588bf46eda1436e8,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",f64b18b2-140b-406d-9232-9857578ed989,Pending_Approval,"Jan 3, 2026, 09:25 AM",07:13:37 AM,07:22:23 AM,526,27,"23.3520, 86.4534",Yes,6ffd7bf6-00a9-4e20-9439-3afa377a4d2a,Rejected → abandoned,"Jan 3, 2026, 09:29 AM",07:13:37 AM,07:22:23 AM,526,27,"23.3520, 86.4534",Yes,4,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Audio Status; Same Content Hash (Digital Fingerprint)
10,588bf46eda1436e8,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",f64b18b2-140b-406d-9232-9857578ed989,Pending_Approval,"Jan 3, 2026, 09:25 AM",07:13:37 AM,07:22:23 AM,526,27,"23.3520, 86.4534",Yes,662ed0a1-15c7-4699-adfc-dbc2c0033483,Rejected → abandoned,"Jan 4, 2026, 09:52 AM",07:13:37 AM,07:22:23 AM,526,27,"23.3520, 86.4534",Yes,1467,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Audio Status; Same Content Hash (Digital Fingerprint)
11,646d20966f0d0bf0,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",d701eb0c-174c-444b-9b67-b72d104dd5d4,Pending_Approval,"Jan 3, 2026, 05:52 AM",12:15:30 PM,12:23:28 PM,477,27,"26.5445, 88.7126",Yes,73684b83-64aa-4f51-946e-3210a00a9f13,Rejected → abandoned,"Dec 29, 2025, 12:45 PM",12:15:30 PM,12:23:28 PM,477,27,"26.5445, 88.7126",Yes,-6788,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Audio Status; Same Content Hash (Digital Fingerprint)
11,646d20966f0d0bf0,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",d701eb0c-174c-444b-9b67-b72d104dd5d4,Pending_Approval,"Jan 3, 2026, 05:52 AM",12:15:30 PM,12:23:28 PM,477,27,"26.5445, 88.7126",Yes,04c482f6-786e-4375-ac04-185026f160ee,Rejected → abandoned,"Jan 3, 2026, 06:30 AM",12:15:30 PM,12:23:28 PM,477,27,"26.5445, 88.7126",Yes,38,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Audio Status; Same Content Hash (Digital Fingerprint)
11,646d20966f0d0bf0,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",d701eb0c-174c-444b-9b67-b72d104dd5d4,Pending_Approval,"Jan 3, 2026, 05:52 AM",12:15:30 PM,12:23:28 PM,477,27,"26.5445, 88.7126",Yes,c67fde1c-e3c1-4079-8884-49c421966892,Rejected → abandoned,"Jan 4, 2026, 09:57 AM",12:15:30 PM,12:23:28 PM,477,27,"26.5445, 88.7126",Yes,1685,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Audio Status; Same Content Hash (Digital Fingerprint)
12,68fe02e9a96d2b42,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",06172de3-12ee-4d4d-a26d-43ebba0e9532,Pending_Approval,"Jan 3, 2026, 11:52 AM",10:58:34 AM,11:04:58 AM,384,25,"23.6618, 86.9438",No,d536c5c1-498d-4197-98fe-c842a94af516,Rejected → abandoned,"Jan 3, 2026, 01:26 PM",10:58:34 AM,11:04:58 AM,384,25,"23.6618, 86.9438",Yes,94,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Content Hash (Digital Fingerprint)
12,68fe02e9a96d2b42,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",06172de3-12ee-4d4d-a26d-43ebba0e9532,Pending_Approval,"Jan 3, 2026, 11:52 AM",10:58:34 AM,11:04:58 AM,384,25,"23.6618, 86.9438",No,c699767c-35e0-4ae6-b5fa-28e6530dc3b2,Rejected → abandoned,"Jan 4, 2026, 08:13 AM",10:58:34 AM,11:04:58 AM,384,25,"23.6618, 86.9438",Yes,1221,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Content Hash (Digital Fingerprint)
12,68fe02e9a96d2b42,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",06172de3-12ee-4d4d-a26d-43ebba0e9532,Pending_Approval,"Jan 3, 2026, 11:52 AM",10:58:34 AM,11:04:58 AM,384,25,"23.6618, 86.9438",No,2beefb7a-f2b9-443c-967f-fdeb827be89d,Rejected → abandoned,"Jan 4, 2026, 09:47 AM",10:58:34 AM,11:04:58 AM,384,25,"23.6618, 86.9438",Yes,1315,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Content Hash (Digital Fingerprint)
13,71dec2d4199a95fb,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",baae68b0-c765-4e8c-8546-01d591874571,Pending_Approval,"Jan 3, 2026, 01:58 PM",01:00:36 PM,01:05:43 PM,307,27,"25.7924, 87.9831",Yes,2b9be73e-ae0f-4658-b32a-795ba2bc81b0,Rejected → abandoned,"Jan 3, 2026, 01:42 PM",01:00:36 PM,01:05:43 PM,307,27,"25.7924, 87.9831",No,-17,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Content Hash (Digital Fingerprint)
13,71dec2d4199a95fb,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",baae68b0-c765-4e8c-8546-01d591874571,Pending_Approval,"Jan 3, 2026, 01:58 PM",01:00:36 PM,01:05:43 PM,307,27,"25.7924, 87.9831",Yes,31eb873b-3a97-40b8-9698-fc077823f78a,Rejected → abandoned,"Jan 4, 2026, 04:21 AM",01:00:36 PM,01:05:43 PM,307,27,"25.7924, 87.9831",Yes,863,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Audio Status; Same Content Hash (Digital Fingerprint)
13,71dec2d4199a95fb,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",baae68b0-c765-4e8c-8546-01d591874571,Pending_Approval,"Jan 3, 2026, 01:58 PM",01:00:36 PM,01:05:43 PM,307,27,"25.7924, 87.9831",Yes,9d751f38-bf71-473a-908c-6a16a012b8bb,Rejected → abandoned,"Jan 4, 2026, 09:57 AM",01:00:36 PM,01:05:43 PM,307,27,"25.7924, 87.9831",Yes,1199,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Audio Status; Same Content Hash (Digital Fingerprint)
14,814d8195a1f715ec,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same digital fingerprint (content hash)",ed8afa07-e8ba-49c6-b838-5c17a7ba37aa,Pending_Approval,"Jan 3, 2026, 09:23 AM",09:57:08 AM,10:03:55 AM,406,27,N/A,Yes,1383cd16-35f1-449e-a493-fe3851135fb4,Rejected → abandoned,"Jan 3, 2026, 05:01 AM",09:57:08 AM,10:03:55 AM,406,27,N/A,No,-262,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same Content Hash (Digital Fingerprint)
14,814d8195a1f715ec,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same digital fingerprint (content hash)",ed8afa07-e8ba-49c6-b838-5c17a7ba37aa,Pending_Approval,"Jan 3, 2026, 09:23 AM",09:57:08 AM,10:03:55 AM,406,27,N/A,Yes,566fc085-4a25-4d0f-99d5-320d26d176d0,Rejected → abandoned,"Jan 3, 2026, 12:44 PM",09:57:08 AM,10:03:55 AM,406,27,N/A,Yes,202,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same Audio Status; Same Content Hash (Digital Fingerprint)
14,814d8195a1f715ec,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same digital fingerprint (content hash)",ed8afa07-e8ba-49c6-b838-5c17a7ba37aa,Pending_Approval,"Jan 3, 2026, 09:23 AM",09:57:08 AM,10:03:55 AM,406,27,N/A,Yes,f13ea349-e891-4fc4-af20-2c195721f54b,Rejected → abandoned,"Jan 4, 2026, 09:57 AM",09:57:08 AM,10:03:55 AM,406,27,N/A,Yes,1475,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same Audio Status; Same Content Hash (Digital Fingerprint)
