Group Number,Content Hash,Original Response ID,Original Status,Original Created At,Duplicate Response ID,Duplicate Status,Duplicate Created At,Action Taken,Reason
4,1ba26642855d6a74,f88f6e1e-da26-4e45-a93c-50d5bbb51fdf,Pending_Approval,2026-01-03T07:08:38.224Z,1443f87d-2cda-4eed-94d2-ec5ae40912c6,Rejected -> abandoned,2026-01-03T06:59:04.251Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
4,1ba26642855d6a74,f88f6e1e-da26-4e45-a93c-50d5bbb51fdf,Pending_Approval,2026-01-03T07:08:38.224Z,2a936774-856b-4869-877d-efe9dec6713c,Rejected -> abandoned,2026-01-03T07:17:14.053Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
4,1ba26642855d6a74,f88f6e1e-da26-4e45-a93c-50d5bbb51fdf,Pending_Approval,2026-01-03T07:08:38.224Z,c7354012-1349-4de8-8668-84b47087b4a4,Rejected -> abandoned,2026-01-04T09:57:40.394Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
5,1f88bd426a4ea393,d1049750-0148-46ac-9021-0d8a90a179ee,Pending_Approval,2026-01-03T13:13:35.215Z,7f80f584-8e26-40f3-b450-9fefd54c3454,Rejected -> abandoned,2026-01-02T10:14:41.257Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
5,1f88bd426a4ea393,d1049750-0148-46ac-9021-0d8a90a179ee,Pending_Approval,2026-01-03T13:13:35.215Z,3ddd2761-e3d6-4b74-901b-db17fd928c30,Rejected -> abandoned,2026-01-03T04:21:27.947Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
5,1f88bd426a4ea393,d1049750-0148-46ac-9021-0d8a90a179ee,Pending_Approval,2026-01-03T13:13:35.215Z,280fa546-096d-4dd0-860b-546010182fbc,Rejected -> abandoned,2026-01-03T13:13:58.136Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
6,2070ca9b2a899617,cbfa8d98-6eca-4293-a915-4b4c666cb1f9,Pending_Approval,2025-12-31T12:44:14.190Z,f3fdcfda-20fe-45a0-857e-e205619efa91,Rejected -> abandoned,2025-12-31T11:05:02.638Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
6,2070ca9b2a899617,cbfa8d98-6eca-4293-a915-4b4c666cb1f9,Pending_Approval,2025-12-31T12:44:14.190Z,6618bc86-2789-47ac-9351-b902c165a164,Rejected -> abandoned,2025-12-31T13:09:57.304Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
6,2070ca9b2a899617,cbfa8d98-6eca-4293-a915-4b4c666cb1f9,Pending_Approval,2025-12-31T12:44:14.190Z,a965971b-2494-4eba-8161-81c0c45498fa,Rejected -> abandoned,2025-12-31T14:07:44.647Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
7,2652210bf28fb721,0d22de8c-9e57-45e3-89e7-5396ba1f169b,Rejected,2026-01-02T13:06:44.712Z,55f63803-774e-4d71-9a4e-1072673103e3,Rejected -> abandoned,2026-01-03T06:35:22.636Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
7,2652210bf28fb721,0d22de8c-9e57-45e3-89e7-5396ba1f169b,Rejected,2026-01-02T13:06:44.712Z,3e834e68-21eb-40d5-8f97-8947219e5ad0,Rejected -> abandoned,2026-01-03T07:01:09.861Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
7,2652210bf28fb721,0d22de8c-9e57-45e3-89e7-5396ba1f169b,Rejected,2026-01-02T13:06:44.712Z,7c006334-194c-4ac2-b2c4-b503c885c092,Rejected -> abandoned,2026-01-03T07:15:46.554Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
8,39d85ea18b85c800,5b596adc-4d3f-4c04-8319-27ee26500c67,Pending_Approval,2026-01-03T11:24:18.817Z,127c61fb-541f-4181-ab2e-b7f634626526,Rejected -> abandoned,2026-01-02T13:16:05.786Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
8,39d85ea18b85c800,5b596adc-4d3f-4c04-8319-27ee26500c67,Pending_Approval,2026-01-03T11:24:18.817Z,ae557a22-45b0-4c8b-af93-05755828675b,Rejected -> abandoned,2026-01-03T11:36:47.937Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
8,39d85ea18b85c800,5b596adc-4d3f-4c04-8319-27ee26500c67,Pending_Approval,2026-01-03T11:24:18.817Z,c9f62275-1710-40e4-884a-af602f15dcc9,Rejected -> abandoned,2026-01-04T09:53:45.718Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
9,4156187dbd180a99,61532755-7e11-432a-928c-d0ba9e66075c,Pending_Approval,2026-01-02T05:58:25.125Z,9c7ecb2d-87d9-455b-8a3d-a4a05dcd14ae,Rejected -> abandoned,2026-01-01T13:21:54.516Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
9,4156187dbd180a99,61532755-7e11-432a-928c-d0ba9e66075c,Pending_Approval,2026-01-02T05:58:25.125Z,402bb479-5a74-4363-bd71-fb0f064fd595,Rejected -> abandoned,2026-01-02T06:31:31.894Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
9,4156187dbd180a99,61532755-7e11-432a-928c-d0ba9e66075c,Pending_Approval,2026-01-02T05:58:25.125Z,1c7aab9c-834c-4f5c-ac0e-00a734acdfdf,Rejected -> abandoned,2026-01-04T10:00:28.333Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
10,588bf46eda1436e8,f64b18b2-140b-406d-9232-9857578ed989,Pending_Approval,2026-01-03T09:25:24.316Z,b59b079b-e85f-4933-9a4b-786d22b8a21c,Rejected -> abandoned,2026-01-03T08:30:43.435Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
10,588bf46eda1436e8,f64b18b2-140b-406d-9232-9857578ed989,Pending_Approval,2026-01-03T09:25:24.316Z,6ffd7bf6-00a9-4e20-9439-3afa377a4d2a,Rejected -> abandoned,2026-01-03T09:29:32.542Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
10,588bf46eda1436e8,f64b18b2-140b-406d-9232-9857578ed989,Pending_Approval,2026-01-03T09:25:24.316Z,662ed0a1-15c7-4699-adfc-dbc2c0033483,Rejected -> abandoned,2026-01-04T09:52:25.064Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
11,646d20966f0d0bf0,d701eb0c-174c-444b-9b67-b72d104dd5d4,Pending_Approval,2026-01-03T05:52:42.591Z,73684b83-64aa-4f51-946e-3210a00a9f13,Rejected -> abandoned,2025-12-29T12:45:12.110Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
11,646d20966f0d0bf0,d701eb0c-174c-444b-9b67-b72d104dd5d4,Pending_Approval,2026-01-03T05:52:42.591Z,04c482f6-786e-4375-ac04-185026f160ee,Rejected -> abandoned,2026-01-03T06:30:38.007Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
11,646d20966f0d0bf0,d701eb0c-174c-444b-9b67-b72d104dd5d4,Pending_Approval,2026-01-03T05:52:42.591Z,c67fde1c-e3c1-4079-8884-49c421966892,Rejected -> abandoned,2026-01-04T09:57:13.865Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
12,68fe02e9a96d2b42,06172de3-12ee-4d4d-a26d-43ebba0e9532,Pending_Approval,2026-01-03T11:52:37.162Z,d536c5c1-498d-4197-98fe-c842a94af516,Rejected -> abandoned,2026-01-03T13:26:39.901Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
12,68fe02e9a96d2b42,06172de3-12ee-4d4d-a26d-43ebba0e9532,Pending_Approval,2026-01-03T11:52:37.162Z,c699767c-35e0-4ae6-b5fa-28e6530dc3b2,Rejected -> abandoned,2026-01-04T08:13:31.874Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
12,68fe02e9a96d2b42,06172de3-12ee-4d4d-a26d-43ebba0e9532,Pending_Approval,2026-01-03T11:52:37.162Z,2beefb7a-f2b9-443c-967f-fdeb827be89d,Rejected -> abandoned,2026-01-04T09:47:18.598Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
13,71dec2d4199a95fb,baae68b0-c765-4e8c-8546-01d591874571,Pending_Approval,2026-01-03T13:58:50.884Z,2b9be73e-ae0f-4658-b32a-795ba2bc81b0,Rejected -> abandoned,2026-01-03T13:42:12.072Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
13,71dec2d4199a95fb,baae68b0-c765-4e8c-8546-01d591874571,Pending_Approval,2026-01-03T13:58:50.884Z,31eb873b-3a97-40b8-9698-fc077823f78a,Rejected -> abandoned,2026-01-04T04:21:42.963Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
13,71dec2d4199a95fb,baae68b0-c765-4e8c-8546-01d591874571,Pending_Approval,2026-01-03T13:58:50.884Z,9d751f38-bf71-473a-908c-6a16a012b8bb,Rejected -> abandoned,2026-01-04T09:57:27.596Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
14,814d8195a1f715ec,ed8afa07-e8ba-49c6-b838-5c17a7ba37aa,Pending_Approval,2026-01-03T09:23:03.103Z,1383cd16-35f1-449e-a493-fe3851135fb4,Rejected -> abandoned,2026-01-03T05:01:02.912Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
14,814d8195a1f715ec,ed8afa07-e8ba-49c6-b838-5c17a7ba37aa,Pending_Approval,2026-01-03T09:23:03.103Z,566fc085-4a25-4d0f-99d5-320d26d176d0,Rejected -> abandoned,2026-01-03T12:44:45.859Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
14,814d8195a1f715ec,ed8afa07-e8ba-49c6-b838-5c17a7ba37aa,Pending_Approval,2026-01-03T09:23:03.103Z,f13ea349-e891-4fc4-af20-2c195721f54b,Rejected -> abandoned,2026-01-04T09:57:46.411Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
15,95772008d1149af2,32c57620-c5b6-45e0-9ad7-16a10427f2f5,Pending_Approval,2026-01-03T05:39:44.580Z,cc45ab6c-cb5d-430d-9d8d-054175cdc3ec,Rejected -> abandoned,2026-01-02T09:44:46.206Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
15,95772008d1149af2,32c57620-c5b6-45e0-9ad7-16a10427f2f5,Pending_Approval,2026-01-03T05:39:44.580Z,45563aa2-4c43-49dd-b5d4-fb87933068fe,Rejected -> abandoned,2026-01-03T07:16:41.984Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
15,95772008d1149af2,32c57620-c5b6-45e0-9ad7-16a10427f2f5,Pending_Approval,2026-01-03T05:39:44.580Z,172bc674-107f-4646-9fa4-3d8578ac9921,Rejected -> abandoned,2026-01-04T10:01:08.997Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
16,9632105e3e4aae7e,832a528c-68b3-4be5-bab8-77de681b8d48,Pending_Approval,2026-01-02T08:02:19.533Z,0254f79e-298a-42ea-b9c1-2cfefafa7edd,Rejected -> abandoned,2026-01-03T04:43:11.333Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
16,9632105e3e4aae7e,832a528c-68b3-4be5-bab8-77de681b8d48,Pending_Approval,2026-01-02T08:02:19.533Z,4aaf305b-f738-4939-ab0e-170cbfcf5022,Rejected -> abandoned,2026-01-04T05:02:23.399Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
16,9632105e3e4aae7e,832a528c-68b3-4be5-bab8-77de681b8d48,Pending_Approval,2026-01-02T08:02:19.533Z,1e5d8568-fa6f-42a0-995e-94e3849913e1,Rejected -> abandoned,2026-01-04T05:22:00.561Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
17,b0014bcf9f5b0a36,2a24dfe0-9d9e-45dd-9735-8f49b3f62760,Pending_Approval,2026-01-01T10:42:50.574Z,6927781f-c688-4c4b-8bb0-8dd137331e4d,Rejected -> abandoned,2026-01-01T09:55:10.819Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
17,b0014bcf9f5b0a36,2a24dfe0-9d9e-45dd-9735-8f49b3f62760,Pending_Approval,2026-01-01T10:42:50.574Z,a6f68c11-eabf-4722-9cf3-8a4dc709400c,Rejected -> abandoned,2026-01-01T10:46:53.297Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
17,b0014bcf9f5b0a36,2a24dfe0-9d9e-45dd-9735-8f49b3f62760,Pending_Approval,2026-01-01T10:42:50.574Z,15d7d7ca-00c7-41a2-b72a-516b1c565659,Rejected -> abandoned,2026-01-01T11:04:56.097Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
18,b7d230e5af704000,a0d1b9b8-65d9-4f83-b66b-f4ba49037bc1,Pending_Approval,2026-01-03T07:12:29.850Z,95a3148f-3f16-49da-9745-41aea194bc8d,Rejected -> abandoned,2026-01-02T13:50:51.159Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
18,b7d230e5af704000,a0d1b9b8-65d9-4f83-b66b-f4ba49037bc1,Pending_Approval,2026-01-03T07:12:29.850Z,852c80f5-f977-416d-a0cb-dcb3ea3aca17,Rejected -> abandoned,2026-01-03T06:54:32.696Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
18,b7d230e5af704000,a0d1b9b8-65d9-4f83-b66b-f4ba49037bc1,Pending_Approval,2026-01-03T07:12:29.850Z,d81ac34f-0061-4da8-8221-13f069bd1e67,Rejected -> abandoned,2026-01-03T08:34:03.515Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
19,bcc88357898b2f83,5a47efde-7a42-4955-a479-920962a53a77,Pending_Approval,2026-01-02T05:56:29.763Z,f63e6558-b948-43ee-90d5-8452b202220d,Rejected -> abandoned,2026-01-01T13:19:10.350Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
19,bcc88357898b2f83,5a47efde-7a42-4955-a479-920962a53a77,Pending_Approval,2026-01-02T05:56:29.763Z,42ff60d7-0687-40ca-b508-65bb13ba3f60,Rejected -> abandoned,2026-01-02T08:47:52.745Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
19,bcc88357898b2f83,5a47efde-7a42-4955-a479-920962a53a77,Pending_Approval,2026-01-02T05:56:29.763Z,e99bd0e7-ffee-4374-85f3-f4e1efddb283,Rejected -> abandoned,2026-01-04T09:57:31.541Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
20,c9aede6da36b0d40,ec75c051-f702-4443-b9ad-4c31331360f9,Pending_Approval,2026-01-04T10:01:33.194Z,dc0f4047-ca77-4675-a50b-c486c6cf11ce,Rejected -> abandoned,2026-01-01T13:46:31.089Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
20,c9aede6da36b0d40,ec75c051-f702-4443-b9ad-4c31331360f9,Pending_Approval,2026-01-04T10:01:33.194Z,7b44c3ae-9c6d-43a6-a1f5-adc5e85d56a0,Rejected -> abandoned,2026-01-02T06:05:02.850Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
20,c9aede6da36b0d40,ec75c051-f702-4443-b9ad-4c31331360f9,Pending_Approval,2026-01-04T10:01:33.194Z,ae0e78ab-4b07-48ff-8e4b-dd99351772f1,Rejected -> abandoned,2026-01-02T08:52:29.155Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
21,d2d2974aa6711dcf,26c0a591-7712-4e1e-8216-c00a93f26084,Pending_Approval,2026-01-04T04:52:11.234Z,15498e7e-951d-4c91-9695-622159af54c0,Rejected -> abandoned,2026-01-04T06:04:22.174Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
21,d2d2974aa6711dcf,26c0a591-7712-4e1e-8216-c00a93f26084,Pending_Approval,2026-01-04T04:52:11.234Z,4efe92a2-2ae8-4ac2-a026-f96d4e8d547a,Rejected -> abandoned,2026-01-04T06:06:37.609Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
21,d2d2974aa6711dcf,26c0a591-7712-4e1e-8216-c00a93f26084,Pending_Approval,2026-01-04T04:52:11.234Z,e8c42ce3-90fa-4cc5-9a4f-fece1bc4c0ba,Rejected -> abandoned,2026-01-04T09:52:49.304Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
22,eee26a21e07f6dbd,53047c47-361b-4487-881a-d92153499b7a,Pending_Approval,2026-01-02T03:59:34.676Z,9c39206b-c818-4de5-8ab5-65c568db9959,Rejected -> abandoned,2026-01-01T16:37:11.629Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
22,eee26a21e07f6dbd,53047c47-361b-4487-881a-d92153499b7a,Pending_Approval,2026-01-02T03:59:34.676Z,5b003bdc-59d9-4485-980d-e3a1f6647e98,Rejected -> abandoned,2026-01-02T04:08:01.613Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
22,eee26a21e07f6dbd,53047c47-361b-4487-881a-d92153499b7a,Pending_Approval,2026-01-02T03:59:34.676Z,06bef257-e1bf-4171-a3ce-ce551bff8d86,Rejected -> abandoned,2026-01-04T09:56:44.187Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
23,025e0134fb8eac75,99cf8f4f-98ea-4ea9-ae3c-6c1a7f6fbeee,Pending_Approval,2026-01-03T07:13:49.034Z,500bcd7f-eb44-41a5-8841-842dabfcd7c4,Rejected -> abandoned,2026-01-03T04:48:56.410Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
23,025e0134fb8eac75,99cf8f4f-98ea-4ea9-ae3c-6c1a7f6fbeee,Pending_Approval,2026-01-03T07:13:49.034Z,1516b86e-8f2c-44de-a496-0b3eaacdc668,Rejected -> abandoned,2026-01-04T03:16:01.783Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
24,028412bad8ece3c5,59ec96d6-53d8-4e8b-84a4-c835afe23988,Pending_Approval,2025-12-30T14:16:26.543Z,ab7f6329-c3ff-4dc4-9602-3a977d987b6c,Rejected -> abandoned,2025-12-30T13:59:48.256Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
24,028412bad8ece3c5,59ec96d6-53d8-4e8b-84a4-c835afe23988,Pending_Approval,2025-12-30T14:16:26.543Z,c49fb053-bdc9-4990-b2f5-3606d65119ad,Rejected -> abandoned,2025-12-30T14:41:03.342Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
25,0400b9fa0a92885d,b42f7c93-a4cf-499b-888c-df361605c74e,Pending_Approval,2025-12-24T13:36:40.626Z,ea156658-3e30-422b-a892-166ad4f51a7e,Rejected -> abandoned,2026-01-01T11:34:05.341Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
25,0400b9fa0a92885d,b42f7c93-a4cf-499b-888c-df361605c74e,Pending_Approval,2025-12-24T13:36:40.626Z,922aaf36-e0a8-4206-a68c-b85dc078cdf7,Rejected -> abandoned,2026-01-03T04:54:43.938Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
26,04821fb0b1458e8f,20231cd2-49a6-4199-8f7b-880436a26e17,Pending_Approval,2026-01-03T05:59:10.523Z,08d0b09a-3f8a-4d0d-adce-edee85210715,Rejected -> abandoned,2026-01-02T15:20:23.171Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
26,04821fb0b1458e8f,20231cd2-49a6-4199-8f7b-880436a26e17,Pending_Approval,2026-01-03T05:59:10.523Z,27fe0b6e-1b1b-48b2-8450-26d0302f666c,Rejected -> abandoned,2026-01-03T06:24:42.210Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
27,051beb32055dd294,875aa358-10c9-4ea8-a2dc-1d94a271e479,Rejected,2025-12-31T13:09:32.617Z,2c5ede60-9c6c-4845-8b3f-275e5c91f58c,Rejected -> abandoned,2026-01-02T05:00:42.801Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
27,051beb32055dd294,875aa358-10c9-4ea8-a2dc-1d94a271e479,Rejected,2025-12-31T13:09:32.617Z,bdc90b44-4e05-4619-b206-d1d7250426a5,Rejected -> abandoned,2026-01-02T05:35:34.881Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
28,05eddee300f06e27,61be25e1-774a-442e-b6d0-240670e20c56,Pending_Approval,2026-01-02T11:06:31.706Z,bfa8ec08-8a61-42f6-87ea-104ecbf492a1,Rejected -> abandoned,2026-01-02T12:08:43.488Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
28,05eddee300f06e27,61be25e1-774a-442e-b6d0-240670e20c56,Pending_Approval,2026-01-02T11:06:31.706Z,bfa9c522-6f24-43d2-8fa9-03f4a4903e48,Rejected -> abandoned,2026-01-04T10:02:48.273Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
29,0742a876d601d827,efed127a-bda6-483e-bfd8-4e9c4864f95b,Pending_Approval,2026-01-03T14:33:22.162Z,e714e207-a5ff-48d8-a640-c3b18a1e0e83,Rejected -> abandoned,2026-01-03T13:03:52.857Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
29,0742a876d601d827,efed127a-bda6-483e-bfd8-4e9c4864f95b,Pending_Approval,2026-01-03T14:33:22.162Z,8779db8e-9e32-46f9-b10b-87f6bfa50192,Rejected -> abandoned,2026-01-03T14:36:18.750Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
30,07e6ec6e5284abf4,a81cae96-d817-44fe-9622-847006f6f564,Rejected,2025-12-30T11:59:31.702Z,13d03fc8-8451-4e5c-b057-a58a45438365,Rejected -> abandoned,2025-12-30T12:29:08.395Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
30,07e6ec6e5284abf4,a81cae96-d817-44fe-9622-847006f6f564,Rejected,2025-12-30T11:59:31.702Z,a1ee5f3c-d2c5-49a7-abd1-3d26468c618d,Rejected -> abandoned,2025-12-30T12:37:16.754Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
31,0830bd941be0536c,c2d41d48-db5f-482d-bcfa-59faf53201cf,Pending_Approval,2026-01-03T08:32:21.492Z,acfd6778-0d32-4d74-a27f-3a56a624a5a2,Rejected -> abandoned,2026-01-02T14:51:16.648Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
31,0830bd941be0536c,c2d41d48-db5f-482d-bcfa-59faf53201cf,Pending_Approval,2026-01-03T08:32:21.492Z,29b3e486-b5d5-400f-8c72-aab06eb54433,Rejected -> abandoned,2026-01-03T09:18:21.291Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
32,08e8e095891bc637,a8f443c6-cb9a-461b-80bf-53562472116e,Pending_Approval,2026-01-04T08:54:46.531Z,11c12f6b-a6e2-446d-a001-5a94fc90e995,Rejected -> abandoned,2026-01-04T09:18:26.979Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
32,08e8e095891bc637,a8f443c6-cb9a-461b-80bf-53562472116e,Pending_Approval,2026-01-04T08:54:46.531Z,1cf647b3-fadb-4cc3-8536-cedf4323af5e,Rejected -> abandoned,2026-01-04T09:19:28.533Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
33,0bf0367e37af766f,09bdd87b-c2f5-4678-ae28-175b7f6369f4,Pending_Approval,2026-01-01T08:57:35.501Z,e0ee0d24-98e6-4140-9ebc-3591496ba661,Rejected -> abandoned,2025-12-28T12:35:15.939Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
33,0bf0367e37af766f,09bdd87b-c2f5-4678-ae28-175b7f6369f4,Pending_Approval,2026-01-01T08:57:35.501Z,ebb75f07-2674-4138-a22c-7327c9361fd1,Rejected -> abandoned,2026-01-01T09:06:33.917Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
34,0c1d6c652674f663,4882fc66-dd19-497e-b506-adb329c86c4f,Pending_Approval,2025-12-24T05:36:16.013Z,31aab197-4c57-4d6f-a657-b14373b0a6e4,Rejected -> abandoned,2026-01-01T11:56:55.311Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
