SKIPPED DUPLICATES (Not Abandoned)
================================================================================
Total: 960

1. Duplicate: d056781c-f458-4f79-9bfd-9f2340d980d5 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
75. Duplicate: 4d0b88c3-5969-4982-b07d-0e5c92d8214b | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
76. Duplicate: 4807adee-f9f8-4a74-8179-460e4f5f5cdf | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
77. Duplicate: 22019ef8-52cf-453e-9e23-664ff91e81f2 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
78. Duplicate: 2469980c-5d7f-42d2-a2b8-84633ec49d4f | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
79. Duplicate: fa4c4323-c5a7-405d-a787-f63b3e690fa3 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
80. Duplicate: 11ea41a4-977d-4487-bf37-ed36bd8742cc | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
81. Duplicate: 975e6a52-6ea4-4ee5-a63f-502b2ee57b92 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
82. Duplicate: 376246da-801e-4a8f-920a-eeb90be51dbd | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
83. Duplicate: 08268964-3fc7-4781-87ef-0f4853a7f8ff | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
84. Duplicate: bb96372e-36fd-4889-9096-a74ad9811fa2 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
85. Duplicate: 5d162408-bc06-481d-891a-cc0b560d323c | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
86. Duplicate: f1512ee5-a187-4cb4-a87f-196ca61b8608 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
87. Duplicate: 0ec21e9c-dcff-4571-8282-6debe03ea74f | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
88. Duplicate: 1fd72b19-f7d8-405b-8066-c6a0bdd70701 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
89. Duplicate: ddfad1dc-ef60-4be8-b491-c5738c2d8471 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
90. Duplicate: 83cc74ec-e788-4656-a7db-03926dad2a88 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
91. Duplicate: 1a5c87e3-fa13-4bcd-9183-dcc5da5b4783 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
92. Duplicate: a49da4ec-d829-417c-8ce4-838977756b0e | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
93. Duplicate: 9977a6c7-88a9-4f5c-9c7b-b10d60d274e6 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
94. Duplicate: 73606d0d-8a69-4982-9129-44bfafd64e06 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
95. Duplicate: 887ca6a0-3830-4a86-a587-b564e5177db4 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
96. Duplicate: 2a9c06ce-a724-48db-b57e-ed4f87c72454 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
97. Duplicate: 144857e4-974e-4711-8848-88749a04eaec | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
98. Duplicate: 6185ab91-2995-4e87-9578-edbad5e522ae | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
99. Duplicate: 36dd91f1-f279-4a03-8379-4f1c90decaab | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
100. Duplicate: e6a50a32-e88a-4c53-93d5-9cc21dcebd3f | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
101. Duplicate: 3333e360-9507-4b1e-9af3-7ece822211bd | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
102. Duplicate: dac1e8a9-c15a-4c75-82dc-2f0617a8fe3d | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
103. Duplicate: ecdcbea9-9a1a-4993-9e35-0dd1004b6d23 | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
104. Duplicate: 25712747-3ccf-435e-8550-b97de20f64af | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
105. Duplicate: 234bce9e-7826-425b-9497-46a2bdfd2052 | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
106. Duplicate: 959e4ff9-d11a-493b-889d-12c1b1b7162f | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
107. Duplicate: 63f4bacd-81fb-4d8f-ac71-46db389b3777 | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
108. Duplicate: 0c59645a-73c1-4e1b-9bc8-908031cedeaf | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
109. Duplicate: d31e8730-2228-4111-bce0-8c7f423fe07d | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
110. Duplicate: 04a7ad07-dfed-495a-a6c5-eb1a6628cc9d | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
111. Duplicate: 90f7f351-7d18-435c-8c04-6db692b300b7 | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
112. Duplicate: dcefd6dc-a0a8-4d88-a03b-7390683f08ca | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
113. Duplicate: 04ca87e8-d8ac-4071-bcca-1a30ae836603 | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
114. Duplicate: 22f7a118-abdc-45fd-870d-4ad31a5691a6 | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
115. Duplicate: 81196556-f616-4b08-803a-eb3acd72145b | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
116. Duplicate: 831950bf-c5f7-4e61-8870-395e3e18128c | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
117. Duplicate: 873aa937-72bd-4d59-bc05-0b5082890eea | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
118. Duplicate: 774a3bdd-616b-4fd9-a306-c0abf2afe52b | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
119. Duplicate: e93affc1-7086-4267-a345-0de7638f9d12 | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
120. Duplicate: 64323065-5a9e-4c92-97eb-54608a145646 | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
121. Duplicate: c8461a79-ab2f-4a3d-8657-d7dbe2158331 | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
122. Duplicate: f574c94a-2a61-4e9e-8f26-23d0ccb2a9ff | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
123. Duplicate: b8b8318f-36db-4f97-95d8-74500cb08d74 | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
124. Duplicate: ab826d1d-5cd7-4827-8277-2df12df14a22 | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
125. Duplicate: 684bb955-1678-4e09-9ae9-fa3020ab943e | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
126. Duplicate: d563f40b-6684-4534-bdb3-80f2931dd9e8 | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
127. Duplicate: 5031f80b-5c9f-44e4-9361-36191c6cfd41 | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
128. Duplicate: 6477465e-6788-431b-99bf-8d96614cd897 | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
129. Duplicate: 061eb5c6-4c5b-49af-89b0-2ec7c7e9db73 | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
130. Duplicate: e4dcfec4-d37e-452f-86c5-5712de4e4bee | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
131. Duplicate: ebae6d11-eae0-4ae5-95d4-cb9e83115c92 | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
132. Duplicate: f44e2b68-45f9-43e4-8056-56963e2e676a | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
133. Duplicate: 81c66ca1-c928-4887-9237-b316efe137e1 | Original: 2f818e8c-cfec-473f-897b-63081fcec8b4 | Status: Pending_Approval | Mode: CAPI
134. Duplicate: 8a43b376-7fb0-4e33-972d-04749742cdd3 | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
135. Duplicate: 1c7fedd8-2f3f-4dd6-9564-5c98de212839 | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
136. Duplicate: 3ec2907f-fe5f-41b5-a058-53e585efcfaf | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
137. Duplicate: 831b0c6c-96ff-4b2a-8136-6b5fb4f6ec88 | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
138. Duplicate: 07e7e7bb-0866-4de4-bc4c-0671852f6958 | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
139. Duplicate: 7e6b1569-8923-487a-ab03-85a89080b3d0 | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
140. Duplicate: 90c23209-0baa-49ae-854f-15c2f22ffaa3 | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
141. Duplicate: f1871915-77e3-46a2-8258-3110944c679d | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
142. Duplicate: 381cc726-4428-4c62-a88b-b6c0de193f6d | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
143. Duplicate: 59883002-3a5b-432c-8532-ae3f4d49034e | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
144. Duplicate: 8bc175c4-6fc5-461d-8784-be16ef06533e | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
145. Duplicate: 7961d3a1-af02-41d0-8c2a-4077d05c364d | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
146. Duplicate: c0f618c6-3d76-4480-b2cd-61c336056d00 | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
147. Duplicate: 0429c031-386a-40ac-af75-329bb68c356e | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
148. Duplicate: 686a1c92-e99c-4662-9391-f97730af8de3 | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
149. Duplicate: 091c73a8-b10e-4113-ab1e-3a6039085aa0 | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
150. Duplicate: 2a799181-d17a-40ae-928a-46ac8d830031 | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
151. Duplicate: c4affdba-afeb-4256-809b-f2013906797f | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
152. Duplicate: b6f76dd3-81c8-48b5-9899-0def882a997c | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
153. Duplicate: 25a94a4f-5f5f-4dc1-8553-c1cface1dbd6 | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
154. Duplicate: c16aca2f-08c1-48d3-a0c9-7ae1c25b15e5 | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
155. Duplicate: 5c0b4819-fe0c-41f7-b6e7-980611935515 | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
156. Duplicate: 4e9e1e45-774d-4d10-b321-35ffab56e970 | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
157. Duplicate: aa4d37cd-5ffc-4a71-a8bf-d2680b3f2304 | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
158. Duplicate: 5a50763f-5dad-4f0b-9e7b-631aad739ac0 | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
159. Duplicate: 1dbe06b4-a331-48e8-946a-c3722c398bd5 | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
